project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
ostelco/ostelco-core:logging,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:model,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:neo4j-admin-tools,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:neo4j-store,error with test,6.0.1,fail to add plugin,,,,,4,8
ostelco/ostelco-core:ocs-grpc-api,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:ocs-ktc,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:ocsgw,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:payment-processor,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:prime,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:prime-admin,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:prime-customer-api,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:prime-modules,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:publisher-extensions,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:scaninfo-datastore,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:scaninfo-shredder,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:secure-archive,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:sim-administration,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:sim-administration:es2plus4dropwizard,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:sim-administration:hss-adapter,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:sim-administration:jersey-json-schema-validator,error with test,6.0.1,fail to add plugin,,,,,5,8
ostelco/ostelco-core:sim-administration:ostelco-dropwizard-utils,error with test,6.0.1,fail to add plugin,,,,,6,8
ostelco/ostelco-core:sim-administration:simcard-utils,error with test,6.0.1,fail to add plugin,,,,,6,8
ostelco/ostelco-core:sim-administration:simmanager,error with test,6.0.1,fail to add plugin,,,,,6,8
ostelco/ostelco-core:sim-administration:sm-dp-plus-emulator,error with test,6.0.1,fail to add plugin,,,,,6,8
ostelco/ostelco-core:slack,error with test,6.0.1,fail to add plugin,,,,,6,8
ostelco/ostelco-core:tracing,error with test,6.0.1,fail to add plugin,,,,,6,8
synapticloop/copyrightr,error with test,5.5.1,no test,,,,,1,4
lixiaodaoaaa/upload_single_aar2maven,F,,N/A,,,,,0,4
sobolewskikamil/nashorn-sandbox:nashorn-sandbox-app,error with test,4.2.1,no test,,,,,0,4
sobolewskikamil/nashorn-sandbox:nashorn-sandbox-core,error with test,4.2.1,0,,,,,0,64
sobolewskikamil/nashorn-sandbox:nashorn-sandbox-integration-tests,error with test,4.2.1,0,,,,,0,68
trishagee/javafx-gradle-simple,error with test,6.8,no test,,,,,0,4
victorbetoni/gradle-java-template:lib,error with test,7.3,no test,,,,,0,4
jvalentino/gradlebook-03.03-hello-world,error with test,4.3,no test,,,,,0,4
jvalentino/gradlebook-03.07-hello-world-gradle,error with test,4.3,run time error,,,,,0,8
3jin-p/gradle-test,error with test,7.0,no test,,,,,0,4
AlexRogalskiy/gradle-java-sample:appflow[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
AlexRogalskiy/gradle-java-sample:avro[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
AlexRogalskiy/gradle-java-sample:codecheck[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
AlexRogalskiy/gradle-java-sample:db-schema[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
AlexRogalskiy/gradle-java-sample:flatbuffers[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
AlexRogalskiy/gradle-java-sample:protobuf[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
AlexRogalskiy/gradle-java-sample:testflow[33m-Gradlejavasampleproject[39m,error with test,6.8,run time error,,,,,2,8
