project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
pgreze/gradle-experiments:jlib,T,4.0.1,0,1,1,0,0,1,60
victoryw/gradle-intelliJ-java,T,2.12,0,1,0,1,0,0,72
Contrast-Security-OSS/contrast-gradle-plugin,T,4.2.1,0,17,17,0,0,9,104
blankdots/ivy-pypi-repo,T,4.9,0,1,1,0,0,1,60
wooga/atlas-github,T,6.9,0,33,33,0,0,12,108
marcio012/rest-spring-mybatis-gradle,T,4.8.1,0,1,1,0,0,8,148
sachinlala/SimplifyLearning:algorithms,T,6.6.1,0,150,149,0,1,8,68
sachinlala/SimplifyLearning:sample-rest-service,T,6.6.1,0,9,9,0,0,17,108
simasch/demo-gradle-jpa,T,4.10.2,0,1,1,0,0,5,92
otto-de/gradle-plugin-classycle,T,4.7,0,7,5,2,0,14,144
SebastianRzk/gradle-cobol-plugin-core,T,6.3,0,8,8,0,0,2,96
SlopeOak/gradle-init,T,5.4.1,0,8,8,0,0,4,168
J-Man13/camunda-gradle,T,5.6,0,1,1,0,0,14,196
ankowals/taf_gradle,T,5.2.1,0,4,3,1,0,13,80
edgewords/gradle-intellij-cucumber-template,T,5.2.1,0,1,0,1,0,1,72
xvik/gradle-java-lib-plugin,T,6.9,0,57,50,0,7,125,120
swagger-api/swaggerhub-gradle-plugin,T,7.6.1,0,6,6,0,0,14,64
web3j/solidity-gradle-plugin,T,7.6,0,1,0,1,0,2,72
AdamWojcicki1991/sudoku-project,T,6.1,0,16,16,0,0,1,64
petehouston/demo-java-gradle,T,2.9,0,2,2,0,0,1,60
harry0000/Wicket-convert-to-Gradle,T,2.5,0,1,1,0,0,1,60
fkorotkov/gradle-to-pants-converter:calculator,T,2.14,0,1,1,0,0,1,64
fkorotkov/gradle-to-pants-converter:plus,T,2.14,0,1,1,0,0,1,64
DamianReeves/scala-macros-usage-with-gradle,T,4.8,0,2,2,0,0,1,64
philwebb/mutli-module-layered-gradle-example:myapp,T,6.6.1,0,1,1,0,0,3,64
tkhm/quarkus-openapi-sample-with-gradle,T,6.0.1,0,1,1,0,0,1,64
Nathan-Patnam/project-todo,T,3.5,0,78,78,0,0,2,60
nogsantos/twitter-integration-api,T,4.10.2,0,10,4,6,0,18,152
zajzi7/Football_Portal,T,5.2.1,0,3,1,2,0,6,140
r-d-kmd/gradle-helm-chart-publisher,T,5.5.1,0,20,20,0,0,7,244
romankh3/tictactoe,T,3.5,0,7,7,0,0,1,60
ayshik-halder/contactsCSVtoSQL,T,6.3,0,1,1,0,0,10,132
DreamLi1314/angboot:client:server,T,6.0.1,0,5,4,0,1,26,140
xenit-eu/start.xenit.eu:initializr-generator,T,5.6,0,6,6,0,0,3,64
xenit-eu/start.xenit.eu:initializr-generator-beans-xml-config,T,5.6,0,8,8,0,0,4,68
wooga/spock-github-extension,T,7.6.1,0,42,7,35,0,39,424
DeekshithSN/CICD_Java_gradle_application,T,7.1.1,0,1,1,0,0,5,68
mark-vieira/gradle-maven-settings-plugin,T,4.6,0,12,12,0,0,5,104
HexagonMC/Spigot-Gradle,T,4.10.2,0,5,5,0,0,17,64
sebasira/spring-boot-security,T,3.5.1,0,1,0,1,0,6,116
manasacharyya25/SpringSecurityWithJwt,T,6.8.3,0,1,0,1,0,7,92
hsteidel/gradle-spring-mongo-file-store-poc,T,3.5,0,2,1,1,0,2,100
lopi2131/test_slotegrator,T,7.1,0,5,0,5,0,591,104
litsynp/spring-boot-demo-explore,T,7.1.1,0,1,1,0,0,15,104
savannadenega/unit-test-project-example,T,6.7,0,6,6,0,0,1,96
matheus-de-araujo/reserva,T,7.2,0,1,0,1,0,8,108
ConstantTime/ratings-backend,T,7.1.1,0,1,0,1,0,6,96
atribe/alluro,T,4.6,0,1,0,1,0,2,96
ratanparai/kotlin-junit5-gradle-template,T,4.6,0,3,3,0,0,0,64
jonathanlermitage/oga-gradle-plugin,T,7.4.2,0,12,12,0,0,35,64
jeysal/gradle-graphviz-plugin,T,7.4.2,0,28,28,0,0,102,64
Multifuchs/kmf:test-project,T,7.3.3,0,23,23,0,0,4,60
bmuschko/gradle-cargo-plugin,T,6.0.1,0,12,12,0,0,4,100
TheBoegl/gradle-launch4j,T,6.9.3,0,50,18,32,0,67,416
romankh3/image-comparison,T,6.0.1,0,59,59,0,0,15,64
xpepper/template-engine-kata,T,3.3,0,6,6,0,0,0,60
kressi/search-media,T,3.4.1,0,1,1,0,0,3,108
syntrydy/megamusicstore,T,3.5.1,0,16,4,10,2,18,232
beans9/spring-boot-gradle-jpa-web,T,2.13,0,1,0,1,0,5,124
BuddyArifin/bdd-gradle-java,T,2.13,0,2,0,1,1,21,116
wathrog/azkaban-gradle-plugin,T,2.1,0,4,3,1,0,4,112
daggerok/spring-boot-nuxt-spa,T,5.5,0,1,1,0,0,5,64
mayank1989gupta/GradleAutoDeploy,T,4.8.1,0,8,6,2,0,47,5712
duanyitao/gradle_learn,T,4.10,0,1,1,0,0,0,60
cjvogel1972/kube-dashboard,T,6.2,0,204,204,0,0,19,108
marc0der/cuke-gradle-demo,T,2.0,0,8,0,8,0,1,140
saw303/gradle-resource-bundle:gradle-plugin,T,4.8,0,4,1,1,2,5,116
moatazeldebsy/appium-github-actions-integration,T,7.5.1,0,2,0,1,1,3,80
prezi/gradle-haxe-plugin,T,7.1,0,29,29,0,0,8,100
AvInvincible/MercurySiteCucumberFramework,T,3.5,0,26,0,8,18,1,160
micwypych/java-with-jpf-example,T,3.5,0,6,1,5,0,0,92
michaelruocco/embedded-mysql-plugin,T,4.10,0,69,64,5,0,7,160
berinle/concourse-spring-boot-gradle,T,2.13,0,1,0,1,0,4,124
SrinivasanTarget/SampleAppiumGradle,T,2.13,0,1,0,1,0,0,76
gradle/gradle-profiler-plugin,T,6.1,0,1,1,0,0,4,100
nilsmagnus/wsdl2java,T,6.0.1,0,10,4,6,0,44,152
mmalohlava/gradle-visteg,T,6.5.1,0,1,1,0,0,4,100
kordamp/kordamp-gradle-plugins:base-gradle-plugin,T,7.6.1,0,,,,,29,140
kordamp/kordamp-gradle-plugins:sourcestats-gradle-plugin,T,7.6.1,0,,,,,37,76
vicsz/antlr4-gradle-template-CSVtoXML-translator,T,7.1.1,0,17,17,0,0,1,64
int128/gradle-swagger-generator-plugin:acceptance-test,T,7.6.1,0,64,64,0,0,183,68
zhurlik/gradle-selenium-drivers-plugin,T,4.5.1,0,42,39,3,0,496,1032
liziwl/gradle-start-Travis-CI,T,4.7,0,2,2,0,0,0,60
nyukhalov/polylabel-java,T,3.3,0,4,4,0,0,2,64
NataliaFerreiraDev/Udemy-CursoMicronautClientService,T,7.2,0,1,1,0,0,6,68
senghuyjr11/File-Store-API,T,7.5.1,0,1,0,1,0,1,60
File5/intellij-idea-guidesigner-plugin,T,7.1,0,4,4,0,0,7,64
incubyte/ci-cd-kata,T,7.2,0,6,6,0,0,5,60
RichardSalazar27/BlankTemplate,T,7.1.1,0,1,1,0,0,1,60
jenkinsci/gradle-jte-plugin,T,6.0,0,19,19,0,0,47,152
jie-jay/gradle-fat-jar,T,7.4,0,1,1,0,0,1,60
bobabots253/Tapioca,T,6.8.1,0,4,4,0,0,2,68
CadixDev/licenser,T,6.9.2,0,11,11,0,0,5,96
rzabini/gradle-jython,T,6.8.1,0,15,15,0,0,64,104
arendd/AspectjGradlePlugin,T,5.6.1,0,2,2,0,0,9,100
